Day,Listens,Mood,Described
1,50,Very Good,
2,65,Bad,Annoying
3,10,Very Bad,Shit
4,7,Bad,Shit
5,25,Fine,Numbing
6,15,Fine,Not that bad
7,,Fine,
8,15,Fine,Not feeling it
9,35,Good,Numbing
10,,Fine,Not that bad
11,0,Good,Pretty nice
12,0,Good,Enjoyable
13,0,Good,Mind-opening
14,0,Very Good,Fun
15,,,
16,35,Fine,Numbing
17,1,Fine,Busy
18,1,Fine,Busy
19,25,Good,Funky
20,55,Bad,Unbearable
21,,Very Bad,Fucking Annoying
22,25,Bad,Annoying
23,,,
24,35,Bad,Unbearable
25,25,Fine,Busy
26,25,Fine,Not that bad
27,10,Bad,Very Difficult
28,,,
29,25,Fine,Tuned out
30,20,Good,Vibing
31,10,Fine,Busy
32,25,Good,Enjoying
33,1,Fine,Necessity
34,10,Fine,
35,3000,Very Good,Loved it
36,35,Good,Comforting
37,15,Fine,Busy
38,15,Fine,Enjoyable
39,15,Good,Vibing
40,5,Fine,
41,1,Fine,
42,4,Good,I'm here to boost my ego
43,50,Good,Enjoyable
44,25,Bad,Didn't like
45,2,Bad,Boned out
46,15,Good,Background music
47,1,Fine,Necessity
48,1,Fine,Necessity
49,,,
50,7,Fine,
51,8,Bad,Hurt
